test ndcg 1:0.4460, 3:0.4296, 5:0.4356, 7:0.4474, 10:0.4621
test ndcg 1:0.4402, 3:0.4335, 5:0.4470, 7:0.4617, 10:0.4796
test ndcg 1:0.4287, 3:0.4367, 5:0.4429, 7:0.4566, 10:0.4737
test ndcg 1:0.0977, 3:0.1240, 5:0.1400, 7:0.1614, 10:0.1897
test ndcg 1:0.1011, 3:0.1202, 5:0.1330, 7:0.1557, 10:0.1851
test ndcg 1:0.1046, 3:0.1120, 5:0.1288, 7:0.1509, 10:0.1783
test ndcg 1:0.1011, 3:0.1241, 5:0.1391, 7:0.1618, 10:0.1873
test ndcg 1:0.0943, 3:0.1316, 5:0.1494, 7:0.1702, 10:0.1947
test ndcg 1:0.1000, 3:0.1238, 5:0.1378, 7:0.1579, 10:0.1828
test ndcg 1:0.0966, 3:0.1230, 5:0.1363, 7:0.1613, 10:0.1844
test ndcg 1:0.0920, 3:0.1260, 5:0.1432, 7:0.1651, 10:0.1906
test ndcg 1:0.0828, 3:0.1162, 5:0.1364, 7:0.1615, 10:0.1896
test ndcg 1:0.0862, 3:0.1114, 5:0.1356, 7:0.1569, 10:0.1870
test ndcg 1:0.0862, 3:0.1172, 5:0.1323, 7:0.1580, 10:0.1855
test ndcg 1:0.0931, 3:0.1264, 5:0.1446, 7:0.1654, 10:0.1922
test ndcg 1:0.0885, 3:0.1236, 5:0.1442, 7:0.1630, 10:0.1932
test ndcg 1:0.1011, 3:0.1228, 5:0.1440, 7:0.1634, 10:0.1901
test ndcg 1:0.0897, 3:0.1168, 5:0.1382, 7:0.1558, 10:0.1815
test ndcg 1:0.0966, 3:0.1175, 5:0.1361, 7:0.1551, 10:0.1758
test ndcg 1:0.0897, 3:0.1157, 5:0.1311, 7:0.1503, 10:0.1761
test ndcg 1:0.0966, 3:0.1173, 5:0.1333, 7:0.1531, 10:0.1775
test ndcg 1:0.0931, 3:0.1169, 5:0.1368, 7:0.1584, 10:0.1849
test ndcg 1:0.1011, 3:0.1196, 5:0.1420, 7:0.1622, 10:0.1914
test ndcg 1:0.1011, 3:0.1254, 5:0.1466, 7:0.1665, 10:0.1966
test ndcg 1:0.0977, 3:0.1264, 5:0.1454, 7:0.1681, 10:0.1979
test ndcg 1:0.1034, 3:0.1280, 5:0.1460, 7:0.1674, 10:0.1968
test ndcg 1:0.0966, 3:0.1224, 5:0.1427, 7:0.1635, 10:0.1915
test ndcg 1:0.0931, 3:0.1211, 5:0.1426, 7:0.1622, 10:0.1923
test ndcg 1:0.0908, 3:0.1167, 5:0.1400, 7:0.1623, 10:0.1936
test ndcg 1:0.0874, 3:0.1147, 5:0.1388, 7:0.1614, 10:0.1918
test ndcg 1:0.0897, 3:0.1198, 5:0.1369, 7:0.1557, 10:0.1858
test ndcg 1:0.0931, 3:0.1278, 5:0.1402, 7:0.1620, 10:0.1918
test ndcg 1:0.0966, 3:0.1235, 5:0.1435, 7:0.1674, 10:0.1998
test ndcg 1:0.0931, 3:0.1177, 5:0.1426, 7:0.1645, 10:0.1975
test ndcg 1:0.0828, 3:0.1151, 5:0.1381, 7:0.1610, 10:0.1946
test ndcg 1:0.0897, 3:0.1201, 5:0.1407, 7:0.1643, 10:0.1986
test ndcg 1:0.3701, 3:0.3880, 5:0.3918, 7:0.4054, 10:0.4256
test ndcg 1:0.3931, 3:0.3993, 5:0.4000, 7:0.4164, 10:0.4415
test ndcg 1:0.4172, 3:0.4081, 5:0.4156, 7:0.4267, 10:0.4442
test ndcg 1:0.4126, 3:0.4249, 5:0.4395, 7:0.4518, 10:0.4715
test ndcg 1:0.3954, 3:0.3906, 5:0.4019, 7:0.4286, 10:0.4461
test ndcg 1:0.4103, 3:0.4167, 5:0.4256, 7:0.4404, 10:0.4606
test ndcg 1:0.3851, 3:0.3720, 5:0.3805, 7:0.3971, 10:0.4135
test ndcg 1:0.3931, 3:0.3848, 5:0.3882, 7:0.4039, 10:0.4242
test ndcg 1:0.0931, 3:0.1262, 5:0.1449, 7:0.1675, 10:0.2007
test ndcg 1:0.1023, 3:0.1265, 5:0.1438, 7:0.1686, 10:0.2020
test ndcg 1:0.1000, 3:0.1289, 5:0.1502, 7:0.1730, 10:0.2056
test ndcg 1:0.1023, 3:0.1326, 5:0.1524, 7:0.1759, 10:0.2085
test ndcg 1:0.1034, 3:0.1300, 5:0.1453, 7:0.1703, 10:0.2003
test ndcg 1:0.0954, 3:0.1258, 5:0.1436, 7:0.1651, 10:0.1983
test ndcg 1:0.0966, 3:0.1246, 5:0.1395, 7:0.1640, 10:0.1919
test ndcg 1:0.0954, 3:0.1221, 5:0.1375, 7:0.1614, 10:0.1877
test ndcg 1:0.0931, 3:0.1261, 5:0.1454, 7:0.1642, 10:0.1933
test ndcg 1:0.0908, 3:0.1234, 5:0.1436, 7:0.1625, 10:0.1924
test ndcg 1:0.1862, 3:0.1905, 5:0.2060, 7:0.2198, 10:0.2420
test ndcg 1:0.1218, 3:0.1476, 5:0.1701, 7:0.1862, 10:0.2120
test ndcg 1:0.0885, 3:0.1064, 5:0.1258, 7:0.1499, 10:0.1791
test ndcg 1:0.0908, 3:0.1180, 5:0.1359, 7:0.1513, 10:0.1809
test ndcg 1:0.0989, 3:0.1181, 5:0.1285, 7:0.1544, 10:0.1822
test ndcg 1:0.0874, 3:0.1237, 5:0.1419, 7:0.1585, 10:0.1864
test ndcg 1:0.1023, 3:0.1215, 5:0.1322, 7:0.1548, 10:0.1821
test ndcg 1:0.0977, 3:0.1207, 5:0.1306, 7:0.1543, 10:0.1829
test ndcg 1:0.0966, 3:0.1217, 5:0.1318, 7:0.1555, 10:0.1828
test ndcg 1:0.1023, 3:0.1224, 5:0.1352, 7:0.1570, 10:0.1856
test ndcg 1:0.1023, 3:0.1229, 5:0.1347, 7:0.1576, 10:0.1854
test ndcg 1:0.1011, 3:0.1275, 5:0.1378, 7:0.1587, 10:0.1858
test ndcg 1:0.1046, 3:0.1284, 5:0.1406, 7:0.1605, 10:0.1807
test ndcg 1:0.1230, 3:0.1427, 5:0.1613, 7:0.1753, 10:0.2002
test ndcg 1:0.1103, 3:0.1300, 5:0.1494, 7:0.1665, 10:0.1914
test ndcg 1:0.1080, 3:0.1275, 5:0.1425, 7:0.1633, 10:0.1881
test ndcg 1:0.1046, 3:0.1235, 5:0.1395, 7:0.1611, 10:0.1902
test ndcg 1:0.1023, 3:0.1282, 5:0.1475, 7:0.1665, 10:0.1923
test ndcg 1:0.0989, 3:0.1254, 5:0.1444, 7:0.1641, 10:0.1919
test ndcg 1:0.1057, 3:0.1319, 5:0.1458, 7:0.1691, 10:0.1949
test ndcg 1:0.0943, 3:0.1199, 5:0.1367, 7:0.1595, 10:0.1870
test ndcg 1:0.0977, 3:0.1166, 5:0.1305, 7:0.1499, 10:0.1805
test ndcg 1:0.0943, 3:0.1148, 5:0.1346, 7:0.1553, 10:0.1835
